batch_label,model,request_id,ok,elapsed,completion_tokens,tokens_per_second,finish_reason,error
load-5,ministral3-3b,3,True,2.8953520830255,49,16.923675806915135,stop,
load-5,ministral3-3b,2,True,3.0101975420257077,58,19.267838469155414,stop,
load-5,phi4-mini,4,True,3.2096531669958495,59,18.38204844270524,stop,
load-5,phi4-mini,3,True,3.400178833049722,59,17.352028495242745,stop,
load-5,qwen35-4b,1,True,4.306483959022444,62,14.39689560902806,stop,
load-5,phi4-mini,2,True,4.978432082978543,59,11.85112079799649,stop,
load-5,phi4-mini,1,True,5.052625707990956,59,11.67709690165429,stop,
load-5,phi4-mini,5,True,4.963014792010654,59,11.88793555380428,stop,
load-5,qwen35-4b,3,True,10.254626500012819,62,6.046051506597778,stop,
load-5,qwen35-4b,2,True,10.435126041003969,62,5.941471119407289,stop,
load-5,qwen35-4b,5,True,10.439454875013325,62,5.939007423500248,stop,
load-5,qwen35-4b,4,True,10.481959457974881,62,5.914924613911684,stop,
load-6,ministral3-3b,6,True,2.3162254999624565,49,21.155107739205114,stop,
load-6,ministral3-3b,4,True,2.546521082986146,49,19.241937688000903,stop,
load-6,ministral3-3b,2,True,2.615336707967799,49,18.73563730846518,stop,
load-6,ministral3-3b,1,True,2.70351533300709,49,18.1245504331939,stop,
load-6,ministral3-3b,3,True,2.7932744159479626,49,17.54213611102392,stop,
load-6,ministral3-3b,5,True,2.8158709169947542,49,17.40136584538306,stop,
load-6,phi4-mini,2,True,3.777750000008382,59,15.617761895273402,stop,
load-6,phi4-mini,5,True,3.7536484169540927,59,15.718041075321512,stop,
load-6,phi4-mini,3,True,3.8232345419819467,59,15.431959340222607,stop,
load-6,phi4-mini,1,True,3.8911081250407733,59,15.162775770817667,stop,
load-6,phi4-mini,4,True,3.8580229579820298,59,15.292806870921376,stop,
load-6,phi4-mini,6,True,3.8927012920030393,59,15.156570097275765,stop,
load-6,qwen35-4b,6,True,5.5351765410159715,62,11.201088084648518,stop,
load-6,qwen35-4b,4,True,5.8493852079845965,64,10.941320792591668,length,
load-6,qwen35-4b,3,True,5.945163208991289,62,10.428645576328844,stop,
load-6,qwen35-4b,5,True,6.238104042015038,64,10.259527505303785,length,
load-6,qwen35-4b,2,True,8.085046291991603,62,7.668478047109294,stop,
load-6,qwen35-4b,1,True,8.212088250031229,62,7.5498458019815144,stop,
load-7,ministral3-3b,2,True,2.391501458012499,49,20.489220207593913,stop,
load-7,phi4-mini,7,True,3.779951708042063,59,15.608665019310733,stop,
load-7,phi4-mini,2,True,3.8834057910135016,59,15.192849569450228,stop,
load-7,phi4-mini,4,True,3.928614041011315,59,15.018018920690935,stop,
load-7,phi4-mini,1,True,4.025594583014026,59,14.656220039879368,stop,
load-7,ministral3-3b,4,True,4.680293833022006,49,10.469428148779567,stop,
load-7,ministral3-3b,6,True,4.676701291988138,49,10.477470537608218,stop,
load-7,ministral3-3b,7,True,4.694993958983105,49,10.43664814653201,stop,
load-7,ministral3-3b,5,True,4.787966417032294,49,10.233989909722775,stop,
load-7,phi4-mini,5,True,4.805188291997183,59,12.278395021119515,stop,
load-7,phi4-mini,6,True,4.853303416981362,59,12.156668341312272,stop,
load-7,phi4-mini,3,True,4.928570416988805,59,11.971016949788671,stop,
load-7,qwen35-4b,2,True,5.9200253750314005,62,10.472928082621799,stop,
load-7,qwen35-4b,4,True,5.979752708983142,62,10.368321737930717,stop,
load-7,qwen35-4b,3,True,6.035439707979094,62,10.272656674547424,stop,
load-7,qwen35-4b,6,True,5.995561166957486,62,10.340983649986276,stop,
load-7,ministral3-3b,3,True,6.928748834005091,49,7.071983870957559,stop,
load-7,ministral3-3b,1,True,7.016986207978334,49,6.983054910993961,stop,
load-7,qwen35-4b,1,True,9.373798249987885,62,6.614181183180482,stop,
load-7,qwen35-4b,5,True,9.53519425005652,62,6.502227261875918,stop,
load-7,qwen35-4b,7,True,9.526144707982894,62,6.508404176145267,stop,
load-8,ministral3-3b,2,True,2.19902495801216,49,22.282602942485134,stop,
load-8,ministral3-3b,4,True,2.2644204170210287,49,21.639091235744214,stop,
load-8,ministral3-3b,3,True,2.8158630420221016,49,17.401414510846582,stop,
load-8,ministral3-3b,7,True,2.812676875037141,49,17.42112662669542,stop,
load-8,phi4-mini,4,True,3.8074657910037786,59,15.495871332423864,stop,
load-8,phi4-mini,3,True,3.889185042004101,59,15.17027329962095,stop,
load-8,ministral3-3b,5,True,4.000180166971404,49,12.249448263501248,stop,
load-8,qwen35-4b,2,True,4.186534041946288,62,14.809386327401429,stop,
load-8,ministral3-3b,6,True,4.173781874997076,49,11.739952270513497,stop,
load-8,ministral3-3b,8,True,4.212612958042882,49,11.631735573154737,stop,
load-8,ministral3-3b,1,True,4.301605292013846,49,11.39109627072736,stop,
load-8,phi4-mini,8,True,4.849582957976963,59,12.165994583709988,stop,
load-8,phi4-mini,7,True,4.955489124986343,59,11.905989199433991,stop,
load-8,phi4-mini,1,True,5.004883791028988,59,11.788485500053897,stop,
load-8,phi4-mini,2,True,5.005771916999947,59,11.786393982440934,stop,
load-8,phi4-mini,6,True,5.011720624985173,59,11.772404013476818,stop,
load-8,phi4-mini,5,True,5.024329375009984,59,11.74286070763081,stop,
load-8,qwen35-4b,1,True,10.174737291003112,62,6.093523422449713,stop,
load-8,qwen35-4b,3,True,10.437611916975584,62,5.9400560677259975,stop,
load-8,qwen35-4b,6,True,11.22455137502402,64,5.701786901025525,length,
load-8,qwen35-4b,5,True,11.260950165975373,64,5.683357004222796,length,
load-8,qwen35-4b,7,True,17.79192437499296,62,3.484727042069868,stop,
load-8,qwen35-4b,4,True,17.84004341700347,62,3.4753278650043735,stop,
load-8,qwen35-4b,8,True,18.188806999998633,64,3.518647484686863,length,
load-9,ministral3-3b,7,True,2.591407291998621,49,18.908644793620528,stop,
load-9,ministral3-3b,4,True,2.7513417080044746,49,17.809492676770887,stop,
load-9,ministral3-3b,3,True,2.9355292079853825,49,16.692049892301394,stop,
load-9,ministral3-3b,9,True,2.9145978749729693,49,16.811924698344342,stop,
load-9,ministral3-3b,2,True,3.04403975000605,49,16.097030270351304,stop,
load-9,ministral3-3b,5,True,2.985150958993472,49,16.414580258454244,stop,
load-9,ministral3-3b,6,True,3.4464587090187706,49,14.21749225423061,stop,
load-9,ministral3-3b,1,True,3.5719236669829115,49,13.718098304544318,stop,
load-9,ministral3-3b,8,True,3.456575290998444,49,14.17588100210199,stop,
load-9,phi4-mini,6,True,4.086890875012614,59,14.436402097430092,stop,
load-9,phi4-mini,4,True,4.154537417052779,59,14.201340384570296,stop,
load-9,phi4-mini,8,True,4.924208084004931,59,11.981622017892962,stop,
load-9,phi4-mini,7,True,5.018524374987464,59,11.756443845138717,stop,
load-9,phi4-mini,9,True,5.016825416998472,59,11.760425188425083,stop,
load-9,qwen35-4b,1,True,5.759523874963634,62,10.76477871191939,stop,
load-9,qwen35-4b,4,True,6.035501540987752,64,10.603924059230039,length,
load-9,phi4-mini,3,True,6.73754183301935,59,8.756902956929004,stop,
